,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
173,10071,Jonathan Villar,NYM,142,505,0.738,$17.1,4.9,6.9,2.1,105,-2.1,3.6
80,2434,Nelson Cruz,- - -,140,584,0.832,$15.7,3.3,14.0,2.0,122,-14.3,-1.9
81,17988,Tyler Stephenson,CIN,132,402,0.797,$15.8,1.7,3.6,2.0,111,2.8,-2.1
113,17678,Alex Bregman,HOU,91,400,0.777,$16.1,2.4,5.4,2.0,115,1.1,-2.2
120,17027,Alex Verdugo,BOS,146,604,0.777,$16.0,4.3,7.5,2.0,107,-8.0,2.0
144,15672,Austin Meadows,TBR,142,591,0.772,$16.0,4.1,7.5,2.0,113,-7.6,-1.7
164,19918,Daulton Varsho,ARI,95,315,0.755,$15.7,5.7,4.3,2.0,98,4.9,5.0
145,19734,Josh Rojas,ARI,139,550,0.752,$16.2,4.8,5.9,2.0,102,-3.9,4.6
206,5913,Leury Garcia,CHW,126,474,0.711,$15.6,5.2,2.3,2.0,98,1.1,3.4
135,22168,Akil Baddoo,DET,124,461,0.766,$15.4,7.3,8.6,1.9,108,-5.0,3.9
148,19599,Chas McCormick,HOU,108,320,0.766,$15.1,3.7,3.3,1.9,109,4.7,-0.4
220,12144,Max Kepler,MIN,121,490,0.719,$14.9,6.1,2.0,1.9,95,-0.1,5.0
298,11489,Michael A. Taylor,KCR,142,528,0.653,$14.9,4.5,-14.4,1.9,77,15.1,0.3
87,15464,Hunter Renfroe,BOS,144,572,0.816,$14.5,2.4,7.3,1.8,114,-8.6,-2.6
169,16153,Austin Slater,SFG,129,306,0.744,$14.1,6.0,3.4,1.8,103,4.0,2.4
152,16578,Yandy Diaz,TBR,134,541,0.74,$14.6,2.3,5.0,1.8,111,-5.1,-2.2
168,18568,Luis Arraez,MIN,121,479,0.733,$14.5,4.4,2.5,1.8,103,-0.6,0.7
176,9077,Lorenzo Cain,MIL,78,286,0.729,$14.0,5.3,2.9,1.8,97,5.1,4.0
203,14735,Brett Phillips,TBR,119,292,0.727,$14.5,8.7,4.5,1.8,103,3.6,3.5
68,9368,Evan Longoria,SFG,81,291,0.833,$13.6,2.5,6.7,1.7,123,0.6,-1.8
137,13620,Carson Kelly,ARI,98,359,0.754,$13.8,2.0,0.2,1.7,103,5.2,-1.0
154,6310,Alcides Escobar,WSN,75,349,0.744,$13.7,5.3,2.6,1.7,100,3.0,2.4
226,16997,Gleyber Torres,NYY,127,516,0.697,$13.3,3.5,-3.4,1.7,94,2.5,0.2
62,10323,Rafael Ortega,CHC,103,330,0.823,$13.1,5.3,8.9,1.6,120,-3.4,0.3
58,16219,J.D. Davis,NYM,73,211,0.82,$12.4,2.0,8.3,1.6,130,0.2,0.4
89,18126,LaMonte Wade Jr.,SFG,109,381,0.808,$12.6,5.8,7.4,1.6,117,-4.3,-0.9
90,17907,Brendan Rodgers,COL,102,415,0.798,$13.1,2.6,-0.5,1.6,100,3.2,-0.3
100,3473,Anthony Rizzo,- - -,141,576,0.783,$12.9,4.4,7.0,1.6,112,-10.1,-1.8
93,18795,Ramon Urias,BAL,85,296,0.774,$13.2,1.8,5.7,1.6,115,0.7,0.4
133,11680,Elias Diaz,COL,106,371,0.774,$12.8,2.3,-8.0,1.6,92,11.7,-4.4
107,19566,Nathaniel Lowe,TEX,157,642,0.771,$12.5,4.4,9.5,1.6,115,-15.8,-2.2
166,17022,Edmundo Sosa,STL,113,326,0.735,$13.1,5.2,0.8,1.6,104,4.8,-1.0
190,14813,Kyle Farmer,CIN,147,529,0.732,$13.2,3.0,-7.2,1.6,91,6.2,-1.5
204,20454,Jazz Chisholm Jr.,MIA,124,507,0.728,$12.8,7.0,2.2,1.6,98,-3.0,3.3
222,9627,Yan Gomes,- - -,103,375,0.723,$12.5,2.4,-4.2,1.6,93,7.3,-0.9
234,6609,Freddy Galvis,- - -,104,394,0.709,$12.5,3.4,-4.0,1.6,90,6.2,0.9
275,18015,Paul DeJong,STL,113,402,0.674,$12.5,4.0,-6.8,1.6,86,9.1,0.5
125,19238,Lourdes Gurriel Jr.,TOR,141,541,0.785,$12.4,2.5,3.0,1.5,107,-5.9,-2.0
127,13675,Tyrone Taylor,MIL,93,271,0.778,$11.6,6.2,2.5,1.5,106,3.0,0.5
126,7859,Charlie Blackmon,COL,150,582,0.761,$11.8,4.3,-2.8,1.5,94,-1.7,1.4
159,11265,Jonathan Schoop,DET,156,674,0.755,$11.7,2.8,2.0,1.5,105,-10.3,-2.1
156,8202,Josh Harrison,- - -,138,558,0.741,$12.3,4.1,2.0,1.5,103,-5.2,-0.5
146,13836,Matt Duffy,CHC,97,322,0.738,$11.9,4.7,-0.4,1.5,102,4.6,-1.5
153,11477,Christian Yelich,MIL,117,475,0.736,$12.1,5.0,2.3,1.5,101,-2.8,1.8
193,2829,Manny Pina,MIL,75,208,0.732,$12.0,1.6,-1.7,1.5,95,9.8,-0.2
197,11442,Gary Sanchez,NYY,117,440,0.73,$11.7,2.1,-3.8,1.5,99,3.5,-3.5
178,2967,Tommy Pham,SDP,155,561,0.724,$12.0,5.0,2.2,1.5,102,-5.7,1.1
250,18577,Ke'Bryan Hayes,PIT,96,396,0.689,$12.2,5.6,-5.2,1.5,88,7.4,0.9
44,16572,Connor Joe,COL,63,211,0.848,$11.0,0.9,5.4,1.4,116,1.4,1.1
69,13145,Josh Bell,WSN,144,568,0.823,$11.0,1.8,7.1,1.4,118,-12.2,-6.0
83,13359,Tyler Naquin,CIN,127,454,0.809,$11.0,3.7,5.1,1.4,110,-6.3,-0.8
115,18373,Ryan Mountcastle,BAL,144,586,0.796,$11.5,3.2,6.6,1.4,111,-12.2,-1.2
134,16535,Danny Jansen,TOR,70,205,0.772,$11.2,2.3,0.7,1.4,105,6.4,-0.5
132,10047,Wil Myers,SDP,146,500,0.768,$11.2,3.9,6.5,1.4,109,-9.0,0.5
172,16403,Francisco Mejia,TBR,84,277,0.738,$11.2,3.3,2.0,1.4,108,2.5,-0.5
252,14712,Manuel Margot,TBR,125,464,0.696,$10.9,5.2,-1.2,1.4,95,-0.9,1.6
235,9927,Brett Gardner,NYY,140,461,0.689,$11.0,4.9,-0.6,1.4,93,-1.3,3.3
63,14566,Franmil Reyes,CLE,115,466,0.846,$10.7,3.9,8.8,1.3,125,-11.2,-5.8
114,20521,Nick Madrigal,CHW,54,215,0.774,$10.7,5.0,4.7,1.3,113,1.3,1.2
139,17919,Ian Happ,CHC,148,535,0.757,$10.6,4.0,2.4,1.3,103,-6.8,0.2
198,18289,Brian Anderson,MIA,67,264,0.715,$10.1,3.6,0.2,1.3,99,3.7,0.4
294,15674,Reese McGuire,TOR,78,217,0.654,$10.8,1.6,-5.1,1.3,78,11.2,0.8
122,11342,Jesus Aguilar,MIA,131,510,0.788,$10.0,0.7,4.5,1.2,112,-8.9,-3.4
