IDfg,Name,Team,G,PA,AVG,OBP,SLG,OPS,wRC+,WAR,Barrel%,HardHit%,GB%,FB%,HR/FB
9847,Andrew McCutchen,PHI,144,574,0.222,0.334,0.444,0.778,107,1.2,9.0,39.5,40.3,40.3,0.188
12160,Ben Gamel,- - -,122,400,0.247,0.347,0.388,0.735,101,1.2,7.9,36.1,30.9,40.3,0.085
19844,Abraham Toro,- - -,95,375,0.239,0.315,0.373,0.688,95,1.2,7.400000000000001,33.6,41.7,43.5,0.08900000000000001
10200,Tucker Barnhart,CIN,116,388,0.247,0.317,0.368,0.685,81,1.2,4.0,30.7,39.5,35.5,0.08
15279,Garrett Cooper,MIA,71,250,0.284,0.38,0.465,0.845,134,1.1,10.8,52.7,51.4,27.0,0.225
18171,Seth Brown,OAK,111,307,0.214,0.274,0.48,0.754,103,1.1,13.900000000000002,40.2,31.4,50.0,0.20600000000000002
8623,Donovan Solano,SFG,101,344,0.28,0.344,0.404,0.748,105,1.1,7.5,36.6,40.3,34.0,0.081
2136,David Peralta,ARI,150,538,0.259,0.325,0.402,0.728,93,1.1,5.0,41.6,54.89999999999999,26.200000000000003,0.077
11476,Odubel Herrera,PHI,124,492,0.26,0.31,0.416,0.726,93,1.1,4.7,40.0,48.4,31.1,0.113
19294,Nick Solak,TEX,127,511,0.242,0.314,0.362,0.677,89,1.1,6.5,33.2,53.29999999999999,29.600000000000005,0.106
16221,Bradley Zimmer,CLE,99,348,0.227,0.325,0.344,0.669,89,1.1,9.4,42.5,48.0,29.799999999999997,0.157
8709,Elvis Andrus,OAK,146,541,0.243,0.294,0.32,0.614,72,1.1,2.1,34.8,46.0,29.600000000000005,0.024
16930,Jonah Heim,TEX,82,285,0.196,0.239,0.358,0.598,60,1.1,6.2,37.9,40.0,41.9,0.114
12775,Brad Miller,PHI,140,377,0.227,0.321,0.453,0.774,105,1.0,12.3,47.9,45.4,36.7,0.25
18819,Andy Ibanez,TEX,76,272,0.277,0.321,0.435,0.756,107,1.0,7.3,38.6,37.0,43.4,0.07400000000000001
14111,Eric Haase,DET,98,381,0.231,0.286,0.459,0.745,100,1.0,13.699999999999998,47.9,38.5,41.5,0.22699999999999998
10681,Gio Urshela,NYY,116,442,0.267,0.301,0.419,0.72,96,1.0,8.0,41.0,47.8,29.799999999999997,0.151
10231,Jose Iglesias,- - -,137,511,0.271,0.309,0.391,0.701,91,1.0,3.4000000000000004,28.4,42.1,34.5,0.064
19955,Gavin Lux,LAD,102,381,0.242,0.328,0.364,0.692,91,1.0,3.9,40.2,47.2,31.5,0.08800000000000001
20202,Brandon Marsh,LAA,70,260,0.254,0.317,0.356,0.673,86,1.0,10.9,51.7,43.8,25.0,0.055999999999999994
7007,Yadier Molina,STL,121,473,0.252,0.297,0.37,0.667,83,1.0,5.2,31.2,42.0,38.7,0.078
13499,Tom Murphy,SEA,97,325,0.202,0.304,0.35,0.655,87,1.0,8.7,37.5,44.2,41.4,0.147
5452,Ji-Man Choi,TBR,83,305,0.229,0.348,0.411,0.758,117,0.9,9.4,46.8,40.0,34.7,0.18600000000000003
12155,Eddie Rosario,- - -,111,412,0.259,0.305,0.435,0.74,98,0.9,5.9,35.8,36.8,40.5,0.10800000000000001
15937,Aledmys Diaz,HOU,84,319,0.259,0.317,0.405,0.721,99,0.9,6.5,44.8,42.2,34.1,0.10099999999999999
4418,Jed Lowrie,OAK,139,512,0.245,0.318,0.398,0.717,100,0.9,9.3,45.9,36.3,41.4,0.096
12325,Jace Peterson,MIL,94,302,0.247,0.348,0.367,0.714,97,0.9,5.2,34.7,41.1,35.4,0.08800000000000001
19600,Bryan De La Cruz,MIA,58,219,0.296,0.356,0.427,0.783,115,0.8,5.4,42.2,48.3,29.9,0.114
17710,Matt Beaty,LAD,120,234,0.27,0.363,0.402,0.765,114,0.8,3.8,30.599999999999998,44.4,37.5,0.11699999999999999
10762,Corey Dickerson,- - -,109,365,0.271,0.326,0.408,0.734,100,0.8,3.0,35.7,48.7,32.0,0.07
16376,Michael Conforto,NYM,125,479,0.232,0.344,0.384,0.729,106,0.8,9.2,39.1,44.7,34.2,0.135
12158,Austin Barnes,LAD,77,225,0.215,0.299,0.345,0.644,79,0.8,4.1,31.7,43.4,39.9,0.105
19950,Andres Gimenez,CLE,68,210,0.218,0.282,0.351,0.633,73,0.8,3.6000000000000005,30.4,49.6,37.8,0.098
19966,Bobby Dalbec,BOS,133,453,0.24,0.298,0.494,0.792,107,0.7,20.2,48.1,37.4,43.1,0.221
12861,Anthony Rendon,LAA,58,249,0.24,0.329,0.382,0.712,95,0.7,5.6,38.8,31.5,46.6,0.07200000000000001
12434,Kevin Pillar,NYM,124,347,0.231,0.277,0.415,0.692,90,0.7,7.3,31.8,35.1,46.1,0.133
19913,Jesus Sanchez,MIA,64,251,0.251,0.319,0.489,0.808,116,0.6,12.7,42.7,45.3,34.0,0.275
15149,Trey Mancini,BAL,147,616,0.255,0.326,0.432,0.758,105,0.6,10.4,41.5,48.3,31.4,0.162
11899,Joc Pederson,- - -,137,481,0.238,0.31,0.422,0.732,94,0.6,10.1,47.6,39.3,41.9,0.13699999999999998
14551,Anthony Santander,BAL,110,438,0.241,0.286,0.433,0.72,92,0.6,8.4,43.2,34.0,43.4,0.134
12552,Eugenio Suarez,CIN,145,574,0.198,0.286,0.428,0.713,85,0.6,15.0,39.8,36.3,46.6,0.196
11902,Hanser Alberto,KCR,103,255,0.27,0.291,0.402,0.693,84,0.6,4.5,29.9,37.8,39.7,0.024
3298,Charlie Culberson,TEX,91,271,0.243,0.296,0.381,0.676,85,0.6,3.2,29.799999999999997,46.7,32.1,0.085
7739,Travis d'Arnaud,ATL,60,229,0.22,0.284,0.388,0.671,78,0.6,7.6,43.9,46.5,31.2,0.14300000000000002
24618,Ryan Jeffers,MIN,85,293,0.199,0.27,0.401,0.67,82,0.6,14.499999999999998,44.0,42.1,37.1,0.237
16375,Oscar Mercado,CLE,72,238,0.224,0.3,0.369,0.669,85,0.6,4.0,27.200000000000003,43.3,39.2,0.09
12282,Rougned Odor,NYY,102,361,0.202,0.286,0.379,0.665,83,0.6,9.0,37.2,37.4,47.2,0.149
15402,Jack Mayfield,- - -,87,290,0.218,0.272,0.387,0.659,79,0.6,6.4,26.700000000000003,39.5,45.6,0.11199999999999999
